GeneName	GeneID	Description
CNTNAP5	ENSG00000155052	contactin associated protein family member 5(CNTNAP5)
COG5	ENSG00000164597	component of oligomeric golgi complex 5(COG5)
COL4A1	ENSG00000187498	collagen type IV alpha 1 chain(COL4A1)
COL19A1	ENSG00000082293	collagen type XIX alpha 1 chain(COL19A1)
COPZ1	ENSG00000111481	COPI coat complex subunit zeta 1(COPZ1)
COPZ2	ENSG00000005243	COPI coat complex subunit zeta 2(COPZ2)
COQ10B	ENSG00000115520	coenzyme Q10B(COQ10B)
CORO1C	ENSG00000110880	coronin 1C(CORO1C)
COTL1	ENSG00000103187	coactosin like F-actin binding protein 1(COTL1)
CPD	ENSG00000108582	carboxypeptidase D(CPD)
CPEB1	ENSG00000214575	cytoplasmic polyadenylation element binding protein 1(CPEB1)
CPEB3	ENSG00000107864	cytoplasmic polyadenylation element binding protein 3(CPEB3)
CPNE2	ENSG00000140848	copine 2(CPNE2)
CPNE7	ENSG00000178773	copine 7(CPNE7)
CPNE8	ENSG00000139117	copine 8(CPNE8)
CPNE8-AS1	ENSG00000257718	CPNE8 antisense RNA 1(CPNE8-AS1)
CPPED1	ENSG00000103381	calcineurin like phosphoesterase domain containing 1(CPPED1)
CPQ	ENSG00000104324	carboxypeptidase Q(CPQ)
CPT1A	ENSG00000110090	carnitine palmitoyltransferase 1A(CPT1A)
CR1L	ENSG00000197721	complement C3b/C4b receptor 1 like(CR1L)
CR2	ENSG00000117322	complement C3d receptor 2(CR2)
CRAT	ENSG00000095321	carnitine O-acetyltransferase(CRAT)
CREB1	ENSG00000118260	cAMP responsive element binding protein 1(CREB1)
CREB5	ENSG00000146592	cAMP responsive element binding protein 5(CREB5)
CREM	ENSG00000095794	cAMP responsive element modulator(CREM)
CRH	ENSG00000147571	corticotropin releasing hormone(CRH)
CRHBP	ENSG00000145708	corticotropin releasing hormone binding protein(CRHBP)
CRIM1	ENSG00000150938	cysteine rich transmembrane BMP regulator 1(CRIM1)
CRIP2	ENSG00000182809	cysteine rich protein 2(CRIP2)
CRIPT	ENSG00000119878	CXXC repeat containing interactor of PDZ3 domain(CRIPT)
CRISPLD2	ENSG00000103196	cysteine rich secretory protein LCCL domain containing 2(CRISPLD2)
CRTAC1	ENSG00000095713	cartilage acidic protein 1(CRTAC1)
CRTAM	ENSG00000109943	cytotoxic and regulatory T cell molecule(CRTAM)
CRTC1	ENSG00000105662	CREB regulated transcription coactivator 1(CRTC1)
CRTC3	ENSG00000140577	CREB regulated transcription coactivator 3(CRTC3)
CRX	ENSG00000105392	cone-rod homeobox(CRX)
CRY1	ENSG00000008405	cryptochrome circadian regulator 1(CRY1)
CRY2	ENSG00000121671	cryptochrome circadian regulator 2(CRY2)
CSAD	ENSG00000139631	cysteine sulfinic acid decarboxylase(CSAD)
CSF2	ENSG00000164400	colony stimulating factor 2(CSF2)
CSF2RA	ENSG00000198223	colony stimulating factor 2 receptor subunit alpha(CSF2RA)
CSF2RB	ENSG00000100368	colony stimulating factor 2 receptor subunit beta(CSF2RB)
CSF3R	ENSG00000119535	colony stimulating factor 3 receptor(CSF3R)
CSMD1	ENSG00000183117	CUB and Sushi multiple domains 1(CSMD1)
CSNK1D	ENSG00000141551	casein kinase 1 delta(CSNK1D)
CSNK1E	ENSG00000213923	casein kinase 1 epsilon(CSNK1E)
CSRNP3	ENSG00000178662	cysteine and serine rich nuclear protein 3(CSRNP3)
CST3	ENSG00000101439	cystatin C(CST3)
CST7	ENSG00000077984	cystatin F(CST7)
CSTF3	ENSG00000176102	cleavage stimulation factor subunit 3(CSTF3)
CTBP1	ENSG00000159692	C-terminal binding protein 1(CTBP1)
CTBP2	ENSG00000175029	C-terminal binding protein 2(CTBP2)
CTBS	ENSG00000117151	chitobiase(CTBS)
CTC1	ENSG00000178971	CST telomere replication complex component 1(CTC1)
CTRL	ENSG00000141086	chymotrypsin like(CTRL)
CTSD	ENSG00000117984	cathepsin D(CTSD)
CTSF	ENSG00000174080	cathepsin F(CTSF)
CTSS	ENSG00000163131	cathepsin S(CTSS)
CTXN3	ENSG00000205279	cortexin 3(CTXN3)
CUL1	ENSG00000055130	cullin 1(CUL1)
CUL4A	ENSG00000139842	cullin 4A(CUL4A)
CUL9	ENSG00000112659	cullin 9(CUL9)
CUX1	ENSG00000257923	cut like homeobox 1(CUX1)
CXCL2	ENSG00000081041	C-X-C motif chemokine ligand 2(CXCL2)
CXCR5	ENSG00000160683	C-X-C motif chemokine receptor 5(CXCR5)
CXorf65	ENSG00000204165	chromosome X open reading frame 65(CXorf65)
CYBRD1	ENSG00000071967	cytochrome b reductase 1(CYBRD1)
CYCS	ENSG00000172115	cytochrome c, somatic(CYCS)
CYHR1	ENSG00000187954	zinc finger TRAF-type containing 1(ZFTRAF1)
CYLC1	ENSG00000183035	cylicin 1(CYLC1)
CYP2A6	ENSG00000255974	cytochrome P450 family 2 subfamily A member 6(CYP2A6)
CYP2D7	ENSG00000205702	cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)(CYP2D7)
CYP2J2	ENSG00000134716	cytochrome P450 family 2 subfamily J member 2(CYP2J2)
CYP4F2	ENSG00000186115	cytochrome P450 family 4 subfamily F member 2(CYP4F2)
CYP4V2	ENSG00000145476	cytochrome P450 family 4 subfamily V member 2(CYP4V2)
CYP27A1	ENSG00000135929	cytochrome P450 family 27 subfamily A member 1(CYP27A1)
DAAM2	ENSG00000146122	dishevelled associated activator of morphogenesis 2(DAAM2)
DAB1	ENSG00000173406	DAB adaptor protein 1(DAB1)
DACT1	ENSG00000165617	dishevelled binding antagonist of beta catenin 1(DACT1)
DAPK2	ENSG00000035664	death associated protein kinase 2(DAPK2)
DBN1	ENSG00000113758	drebrin 1(DBN1)
DBP	ENSG00000105516	D-box binding PAR bZIP transcription factor(DBP)
DCAF4	ENSG00000119599	DDB1 and CUL4 associated factor 4(DCAF4)
DDB1	ENSG00000167986	damage specific DNA binding protein 1(DDB1)
DDC	ENSG00000132437	dopa decarboxylase(DDC)
DDI2	ENSG00000197312	DNA damage inducible 1 homolog 2(DDI2)
DDIT4	ENSG00000168209	DNA damage inducible transcript 4(DDIT4)
DDR1	ENSG00000204580	discoidin domain receptor tyrosine kinase 1(DDR1)
DDX5	ENSG00000108654	DEAD-box helicase 5(DDX5)
DDX18	ENSG00000088205	DEAD-box helicase 18(DDX18)
DDX42	ENSG00000198231	DEAD-box helicase 42(DDX42)
DEDD2	ENSG00000160570	death effector domain containing 2(DEDD2)
DENND1A	ENSG00000119522	DENN domain containing 1A(DENND1A)
DENND2A	ENSG00000146966	DENN domain containing 2A(DENND2A)
DENND4A	ENSG00000174485	DENN domain containing 4A(DENND4A)
DENND5B	ENSG00000170456	DENN domain containing 5B(DENND5B)
DERA	ENSG00000023697	deoxyribose-phosphate aldolase(DERA)
DGAT1	ENSG00000185000	diacylglycerol O-acyltransferase 1(DGAT1)
DGAT2	ENSG00000062282	diacylglycerol O-acyltransferase 2(DGAT2)
DGCR8	ENSG00000128191	DGCR8 microprocessor complex subunit(DGCR8)
DGKG	ENSG00000058866	diacylglycerol kinase gamma(DGKG)
DHODH	ENSG00000102967	dihydroorotate dehydrogenase (quinone)(DHODH)
DHRS9	ENSG00000073737	dehydrogenase/reductase 9(DHRS9)
DHRS13	ENSG00000167536	dehydrogenase/reductase 13(DHRS13)
DHRSX	ENSG00000169084	dehydrogenase/reductase X-linked(DHRSX)
DHX9	ENSG00000135829	DExH-box helicase 9(DHX9)
DHX34	ENSG00000134815	DExH-box helicase 34(DHX34)
DIP2B	ENSG00000066084	disco interacting protein 2 homolog B(DIP2B)
DIP2C	ENSG00000151240	disco interacting protein 2 homolog C(DIP2C)
DIS3L2	ENSG00000144535	DIS3 like 3'-5' exoribonuclease 2(DIS3L2)
DLEC1	ENSG00000008226	DLEC1 cilia and flagella associated protein(DLEC1)
DMRT1	ENSG00000137090	doublesex and mab-3 related transcription factor 1(DMRT1)
DMRT2	ENSG00000173253	doublesex and mab-3 related transcription factor 2(DMRT2)
DMRTC1B	ENSG00000184911	DMRT like family C1B(DMRTC1B)
DNAH1	ENSG00000114841	dynein axonemal heavy chain 1(DNAH1)
DNAJA1P1	ENSG00000223717	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 1(DNAJA1P1)
DNAJC10	ENSG00000077232	DnaJ heat shock protein family (Hsp40) member C10(DNAJC10)
DNAJC16	ENSG00000116138	DnaJ heat shock protein family (Hsp40) member C16(DNAJC16)
DNAJC19	ENSG00000205981	DnaJ heat shock protein family (Hsp40) member C19(DNAJC19)
DNM1L	ENSG00000087470	dynamin 1 like(DNM1L)
DNMT1	ENSG00000130816	DNA methyltransferase 1(DNMT1)
DOCK1	ENSG00000150760	dedicator of cytokinesis 1(DOCK1)
DOCK3	ENSG00000088538	dedicator of cytokinesis 3(DOCK3)
DOCK4	ENSG00000128512	dedicator of cytokinesis 4(DOCK4)
DOCK5	ENSG00000147459	dedicator of cytokinesis 5(DOCK5)
DOCK10	ENSG00000135905	dedicator of cytokinesis 10(DOCK10)
DOK5	ENSG00000101134	docking protein 5(DOK5)
DPYD	ENSG00000188641	dihydropyrimidine dehydrogenase(DPYD)
DPYD-AS1	ENSG00000232878	DPYD antisense RNA 1(DPYD-AS1)
DPYSL3	ENSG00000113657	dihydropyrimidinase like 3(DPYSL3)
DRD1	ENSG00000184845	dopamine receptor D1(DRD1)
DRD2	ENSG00000149295	dopamine receptor D2(DRD2)
DRD3	ENSG00000151577	dopamine receptor D3(DRD3)
DRD4	ENSG00000069696	dopamine receptor D4(DRD4)
DSC1	ENSG00000134765	desmocollin 1(DSC1)
DTNA	ENSG00000134769	dystrobrevin alpha(DTNA)
DTX2	ENSG00000091073	deltex E3 ubiquitin ligase 2(DTX2)
DTX3L	ENSG00000163840	deltex E3 ubiquitin ligase 3L(DTX3L)
DUS3L	ENSG00000141994	dihydrouridine synthase 3 like(DUS3L)
DUS4L-BCAP29	ENSG00000288558	DUS4L-BCAP29 readthrough(DUS4L-BCAP29)
DUSP1	ENSG00000120129	dual specificity phosphatase 1(DUSP1)
DUSP13	ENSG00000079393	dual specificity phosphatase 13(DUSP13)
DUSP28	ENSG00000188542	dual specificity phosphatase 28(DUSP28)
DVL3	ENSG00000161202	dishevelled segment polarity protein 3(DVL3)
DYRK1A	ENSG00000157540	dual specificity tyrosine phosphorylation regulated kinase 1A(DYRK1A)
DYRK2	ENSG00000127334	dual specificity tyrosine phosphorylation regulated kinase 2(DYRK2)
DYSF	ENSG00000135636	dysferlin(DYSF)
DZIP3	ENSG00000198919	DAZ interacting zinc finger protein 3(DZIP3)
EBAG9	ENSG00000147654	estrogen receptor binding site associated antigen 9(EBAG9)
EBF1	ENSG00000164330	EBF transcription factor 1(EBF1)
EBLN3P	ENSG00000281649	endogenous Bornavirus like nucleoprotein 3, pseudogene(EBLN3P)
ECE1	ENSG00000117298	endothelin converting enzyme 1(ECE1)
ECHDC2	ENSG00000121310	enoyl-CoA hydratase domain containing 2(ECHDC2)
ECHDC3	ENSG00000134463	enoyl-CoA hydratase domain containing 3(ECHDC3)
EEF1GP4	ENSG00000240138	eukaryotic translation elongation factor 1 gamma pseudogene 4(EEF1GP4)
EFCAB8	ENSG00000215529	EF-hand calcium binding domain 8(EFCAB8)
EFNA5	ENSG00000184349	ephrin A5(EFNA5)
EGFR	ENSG00000146648	epidermal growth factor receptor(EGFR)
EGLN1	ENSG00000135766	egl-9 family hypoxia inducible factor 1(EGLN1)
EGR1	ENSG00000120738	early growth response 1(EGR1)
EGR2	ENSG00000122877	early growth response 2(EGR2)
EGR3	ENSG00000179388	early growth response 3(EGR3)
EHMT2	ENSG00000204371	euchromatic histone lysine methyltransferase 2(EHMT2)
EID1	ENSG00000255302	EP300 interacting inhibitor of differentiation 1(EID1)
EID2	ENSG00000176396	EP300 interacting inhibitor of differentiation 2(EID2)
EIF2AK3	ENSG00000172071	eukaryotic translation initiation factor 2 alpha kinase 3(EIF2AK3)
EIF2AK3-DT	ENSG00000234028	EIF2AK3 divergent transcript(EIF2AK3-DT)
EIF3E	ENSG00000104408	eukaryotic translation initiation factor 3 subunit E(EIF3E)
EIF3M	ENSG00000149100	eukaryotic translation initiation factor 3 subunit M(EIF3M)
EIF4B	ENSG00000063046	eukaryotic translation initiation factor 4B(EIF4B)
EIF4E3	ENSG00000163412	eukaryotic translation initiation factor 4E family member 3(EIF4E3)
EIF4G3	ENSG00000075151	eukaryotic translation initiation factor 4 gamma 3(EIF4G3)
EIF5B	ENSG00000158417	eukaryotic translation initiation factor 5B(EIF5B)
ELAVL1	ENSG00000066044	ELAV like RNA binding protein 1(ELAVL1)
ELL	ENSG00000105656	elongation factor for RNA polymerase II(ELL)
ELP2	ENSG00000134759	elongator acetyltransferase complex subunit 2(ELP2)
EML4	ENSG00000143924	EMAP like 4(EML4)
EMP1	ENSG00000134531	epithelial membrane protein 1(EMP1)
ENO4	ENSG00000188316	enolase 4(ENO4)
ENSA	ENSG00000143420	endosulfine alpha(ENSA)
ENTPD1	ENSG00000138185	ectonucleoside triphosphate diphosphohydrolase 1(ENTPD1)
EP300	ENSG00000100393	E1A binding protein p300(EP300)
EPB41L3	ENSG00000082397	erythrocyte membrane protein band 4.1 like 3(EPB41L3)
EPC2	ENSG00000135999	enhancer of polycomb homolog 2(EPC2)
EPCAM-DT	ENSG00000234690	EPCAM divergent transcript(EPCAM-DT)
EPHA5	ENSG00000145242	EPH receptor A5(EPHA5)
EPHB1	ENSG00000154928	EPH receptor B1(EPHB1)
EPHX2	ENSG00000120915	epoxide hydrolase 2(EPHX2)
EPM2AIP1	ENSG00000178567	EPM2A interacting protein 1(EPM2AIP1)
EPOR	ENSG00000187266	erythropoietin receptor(EPOR)
EPS15L1	ENSG00000127527	epidermal growth factor receptor pathway substrate 15 like 1(EPS15L1)
ERC2	ENSG00000187672	ELKS/RAB6-interacting/CAST family member 2(ERC2)
ERGIC1	ENSG00000113719	endoplasmic reticulum-golgi intermediate compartment 1(ERGIC1)
ERI1	ENSG00000104626	exoribonuclease 1(ERI1)
ERMN	ENSG00000136541	ermin(ERMN)
ESF1	ENSG00000089048	ESF1 nucleolar pre-rRNA processing protein homolog(ESF1)
ESR1	ENSG00000091831	estrogen receptor 1(ESR1)
ESR2	ENSG00000140009	estrogen receptor 2(ESR2)
ESRRG	ENSG00000196482	estrogen related receptor gamma(ESRRG)
ESYT2	ENSG00000117868	extended synaptotagmin 2(ESYT2)
ESYT3	ENSG00000158220	extended synaptotagmin 3(ESYT3)
EXD3	ENSG00000187609	exonuclease 3'-5' domain containing 3(EXD3)
EXOC2	ENSG00000112685	exocyst complex component 2(EXOC2)
EXOC4	ENSG00000131558	exocyst complex component 4(EXOC4)
EXOSC2	ENSG00000130713	exosome component 2(EXOSC2)
EXOSC7	ENSG00000075914	exosome component 7(EXOSC7)
EXOSC8	ENSG00000120699	exosome component 8(EXOSC8)
EXOSC9	ENSG00000123737	exosome component 9(EXOSC9)
EXT2	ENSG00000151348	exostosin glycosyltransferase 2(EXT2)
EZH2	ENSG00000106462	enhancer of zeste 2 polycomb repressive complex 2 subunit(EZH2)
F7	ENSG00000057593	coagulation factor VII(F7)
F12	ENSG00000131187	coagulation factor XII(F12)
F13A1	ENSG00000124491	coagulation factor XIII A chain(F13A1)
FAAH2	ENSG00000165591	fatty acid amide hydrolase 2(FAAH2)
FABP5	ENSG00000164687	fatty acid binding protein 5(FABP5)
FADS1	ENSG00000149485	fatty acid desaturase 1(FADS1)
FADS2	ENSG00000134824	fatty acid desaturase 2(FADS2)
FAM3D	ENSG00000198643	FAM3 metabolism regulating signaling molecule D(FAM3D)
FAM8A1	ENSG00000137414	family with sequence similarity 8 member A1(FAM8A1)
FAM53B	ENSG00000189319	family with sequence similarity 53 member B(FAM53B)
FAM53C	ENSG00000120709	family with sequence similarity 53 member C(FAM53C)
FAM83B	ENSG00000168143	family with sequence similarity 83 member B(FAM83B)
FAM86B3P	ENSG00000173295	family with sequence similarity 86 member B3, pseudogene(FAM86B3P)
FAM104B	ENSG00000182518	family with sequence similarity 104 member B(FAM104B)
FAM118A	ENSG00000100376	family with sequence similarity 118 member A(FAM118A)
FAM120A	ENSG00000048828	family with sequence similarity 120A(FAM120A)
FAM120C	ENSG00000184083	family with sequence similarity 120C(FAM120C)
FAM153A	ENSG00000170074	family with sequence similarity 153 member A(FAM153A)
FAM162A	ENSG00000114023	family with sequence similarity 162 member A(FAM162A)
FAM185A	ENSG00000222011	family with sequence similarity 185 member A(FAM185A)
FAM193A	ENSG00000125386	family with sequence similarity 193 member A(FAM193A)
FAM217A	ENSG00000145975	family with sequence similarity 217 member A(FAM217A)
FANCF	ENSG00000183161	FA complementation group F(FANCF)
FANCM	ENSG00000187790	FA complementation group M(FANCM)
FAR1	ENSG00000197601	fatty acyl-CoA reductase 1(FAR1)
FAS	ENSG00000026103	Fas cell surface death receptor(FAS)
FBLN5	ENSG00000140092	fibulin 5(FBLN5)
FBXL3	ENSG00000005812	F-box and leucine rich repeat protein 3(FBXL3)
FBXL13	ENSG00000161040	F-box and leucine rich repeat protein 13(FBXL13)
FBXL16	ENSG00000127585	F-box and leucine rich repeat protein 16(FBXL16)
FBXL17	ENSG00000145743	F-box and leucine rich repeat protein 17(FBXL17)
FBXL20	ENSG00000108306	F-box and leucine rich repeat protein 20(FBXL20)
FBXO3	ENSG00000110429	F-box protein 3(FBXO3)
FBXO4	ENSG00000151876	F-box protein 4(FBXO4)
FBXO21	ENSG00000135108	F-box protein 21(FBXO21)
FBXO28	ENSG00000143756	F-box protein 28(FBXO28)
FBXO34	ENSG00000178974	F-box protein 34(FBXO34)
FBXO38	ENSG00000145868	F-box protein 38(FBXO38)
FBXW7	ENSG00000109670	F-box and WD repeat domain containing 7(FBXW7)
FBXW11	ENSG00000072803	F-box and WD repeat domain containing 11(FBXW11)
FCGBP	ENSG00000275395	Fc gamma binding protein(FCGBP)
FCGR2A	ENSG00000143226	Fc gamma receptor IIa(FCGR2A)
FCGR2B	ENSG00000072694	Fc gamma receptor IIb(FCGR2B)
FCGR3B	ENSG00000162747	Fc gamma receptor IIIb(FCGR3B)
FCRLA	ENSG00000132185	Fc receptor like A(FCRLA)
FES	ENSG00000182511	FES proto-oncogene, tyrosine kinase(FES)
FEV	ENSG00000163497	FEV transcription factor, ETS family member(FEV)
FEZF1	ENSG00000128610	FEZ family zinc finger 1(FEZF1)
FFAR2	ENSG00000126262	free fatty acid receptor 2(FFAR2)
FGF7	ENSG00000140285	fibroblast growth factor 7(FGF7)
FGFBP3	ENSG00000174721	fibroblast growth factor binding protein 3(FGFBP3)
FHIT	ENSG00000189283	fragile histidine triad diadenosine triphosphatase(FHIT)
FITM2	ENSG00000197296	fat storage inducing transmembrane protein 2(FITM2)
FKBP1B	ENSG00000119782	FKBP prolyl isomerase 1B(FKBP1B)
FKBP4	ENSG00000004478	FKBP prolyl isomerase 4(FKBP4)
FKBP8	ENSG00000105701	FKBP prolyl isomerase 8(FKBP8)
FLCN	ENSG00000154803	folliculin(FLCN)
FLOT1	ENSG00000137312	flotillin 1(FLOT1)
FLT3	ENSG00000122025	fms related receptor tyrosine kinase 3(FLT3)
FLT3LG	ENSG00000090554	fms related receptor tyrosine kinase 3 ligand(FLT3LG)
FNBP4	ENSG00000109920	formin binding protein 4(FNBP4)
FNDC3B	ENSG00000075420	fibronectin type III domain containing 3B(FNDC3B)
FOLR3	ENSG00000110203	folate receptor gamma(FOLR3)
FOS	ENSG00000170345	Fos proto-oncogene, AP-1 transcription factor subunit(FOS)
FOSL2	ENSG00000075426	FOS like 2, AP-1 transcription factor subunit(FOSL2)
FOXA2	ENSG00000125798	forkhead box A2(FOXA2)
FOXJ1	ENSG00000129654	forkhead box J1(FOXJ1)
FOXK1	ENSG00000164916	forkhead box K1(FOXK1)
FOXO1	ENSG00000150907	forkhead box O1(FOXO1)
FOXP1	ENSG00000114861	forkhead box P1(FOXP1)
FOXP2	ENSG00000128573	forkhead box P2(FOXP2)
FOXP4	ENSG00000137166	forkhead box P4(FOXP4)
FPR2	ENSG00000171049	formyl peptide receptor 2(FPR2)
FRAT1	ENSG00000165879	FRAT regulator of WNT signaling pathway 1(FRAT1)
FSTL5	ENSG00000168843	follistatin like 5(FSTL5)
FTO	ENSG00000140718	FTO alpha-ketoglutarate dependent dioxygenase(FTO)
FUT7	ENSG00000180549	fucosyltransferase 7(FUT7)
G6PD	ENSG00000160211	glucose-6-phosphate dehydrogenase(G6PD)
GAB1	ENSG00000109458	GRB2 associated binding protein 1(GAB1)
GAB4	ENSG00000215568	GRB2 associated binding protein family member 4(GAB4)
GABARAP	ENSG00000170296	GABA type A receptor-associated protein(GABARAP)
GABBR1	ENSG00000204681	gamma-aminobutyric acid type B receptor subunit 1(GABBR1)
GABPB2	ENSG00000143458	GA binding protein transcription factor subunit beta 2(GABPB2)
GABRA1	ENSG00000022355	gamma-aminobutyric acid type A receptor subunit alpha1(GABRA1)
GADD45B	ENSG00000099860	growth arrest and DNA damage inducible beta(GADD45B)
GALNT14	ENSG00000158089	polypeptide N-acetylgalactosaminyltransferase 14(GALNT14)
GAPDHP57	ENSG00000236167	glyceraldehyde 3 phosphate dehydrogenase pseudogene 57(GAPDHP57)
GAS7	ENSG00000007237	growth arrest specific 7(GAS7)
GATA2	ENSG00000179348	GATA binding protein 2(GATA2)
GATA3	ENSG00000107485	GATA binding protein 3(GATA3)
GATA4	ENSG00000136574	GATA binding protein 4(GATA4)
GATM	ENSG00000171766	glycine amidinotransferase(GATM)
GBF1	ENSG00000107862	golgi brefeldin A resistant guanine nucleotide exchange factor 1(GBF1)
GCH1	ENSG00000131979	GTP cyclohydrolase 1(GCH1)
GCSH	ENSG00000140905	glycine cleavage system protein H(GCSH)
GFAP	ENSG00000131095	glial fibrillary acidic protein(GFAP)
GFPT1	ENSG00000198380	glutamine--fructose-6-phosphate transaminase 1(GFPT1)
GFRAL	ENSG00000187871	GDNF family receptor alpha like(GFRAL)
GGA1	ENSG00000100083	golgi associated, gamma adaptin ear containing, ARF binding protein 1(GGA1)
GGTLC2	ENSG00000100121	gamma-glutamyltransferase light chain 2(GGTLC2)
GHRH	ENSG00000118702	growth hormone releasing hormone(GHRH)
GHRHR	ENSG00000106128	growth hormone releasing hormone receptor(GHRHR)
GHRL	ENSG00000157017	ghrelin and obestatin prepropeptide(GHRL)
GHSR	ENSG00000121853	growth hormone secretagogue receptor(GHSR)
GIMAP5	ENSG00000196329	GTPase, IMAP family member 5(GIMAP5)
GIMAP7	ENSG00000179144	GTPase, IMAP family member 7(GIMAP7)
GK	ENSG00000198814	glycerol kinase(GK)
GKAP1	ENSG00000165113	G kinase anchoring protein 1(GKAP1)
GLIS3	ENSG00000107249	GLIS family zinc finger 3(GLIS3)
GLT1D1	ENSG00000151948	glycosyltransferase 1 domain containing 1(GLT1D1)
GLYAT	ENSG00000149124	glycine-N-acyltransferase(GLYAT)
GMCL1	ENSG00000087338	germ cell-less 1, spermatogenesis associated(GMCL1)
GNA11	ENSG00000088256	G protein subunit alpha 11(GNA11)
GNAI2	ENSG00000114353	G protein subunit alpha i2(GNAI2)
GNAO1	ENSG00000087258	G protein subunit alpha o1(GNAO1)
GNAQ	ENSG00000156052	G protein subunit alpha q(GNAQ)
GNG2	ENSG00000186469	G protein subunit gamma 2(GNG2)
GNG7	ENSG00000176533	G protein subunit gamma 7(GNG7)
GNMT	ENSG00000124713	glycine N-methyltransferase(GNMT)
GNS	ENSG00000135677	glucosamine (N-acetyl)-6-sulfatase(GNS)
GOLGA4	ENSG00000144674	golgin A4(GOLGA4)
GOLGA6L10	ENSG00000278662	golgin A6 family like 10(GOLGA6L10)
GOLGA8A	ENSG00000175265	golgin A8 family member A(GOLGA8A)
GOLPH3L	ENSG00000143457	golgi phosphoprotein 3 like(GOLPH3L)
GON4L	ENSG00000116580	gon-4 like(GON4L)
GPA33	ENSG00000143167	glycoprotein A33(GPA33)
GPATCH2	ENSG00000092978	G-patch domain containing 2(GPATCH2)
GPATCH4	ENSG00000160818	G-patch domain containing 4 (gene/pseudogene)(GPATCH4)
GPC5	ENSG00000179399	glypican 5(GPC5)
GPC6	ENSG00000183098	glypican 6(GPC6)
GPN1	ENSG00000198522	GPN-loop GTPase 1(GPN1)
GPR6	ENSG00000146360	G protein-coupled receptor 6(GPR6)
GPR26	ENSG00000154478	G protein-coupled receptor 26(GPR26)
GPR27	ENSG00000170837	G protein-coupled receptor 27(GPR27)
GPR32	ENSG00000142511	G protein-coupled receptor 32(GPR32)
GPR61	ENSG00000156097	G protein-coupled receptor 61(GPR61)
GPR139	ENSG00000180269	G protein-coupled receptor 139(GPR139)
GPR141	ENSG00000187037	G protein-coupled receptor 141(GPR141)
GPR157	ENSG00000180758	G protein-coupled receptor 157(GPR157)
GPR176	ENSG00000166073	G protein-coupled receptor 176(GPR176)
GPRASP1	ENSG00000198932	G protein-coupled receptor associated sorting protein 1(GPRASP1)
GPRC5B	ENSG00000167191	G protein-coupled receptor class C group 5 member B(GPRC5B)
GPX7	ENSG00000116157	glutathione peroxidase 7(GPX7)
GRAP	ENSG00000154016	GRB2 related adaptor protein(GRAP)
GRB10	ENSG00000106070	growth factor receptor bound protein 10(GRB10)
GREM2	ENSG00000180875	gremlin 2, DAN family BMP antagonist(GREM2)
GRK6	ENSG00000198055	G protein-coupled receptor kinase 6(GRK6)
GRM5	ENSG00000168959	glutamate metabotropic receptor 5(GRM5)
GRM7	ENSG00000196277	glutamate metabotropic receptor 7(GRM7)
GRPEL1	ENSG00000109519	GrpE like 1, mitochondrial(GRPEL1)
GSK3B	ENSG00000082701	glycogen synthase kinase 3 beta(GSK3B)
GSTM4	ENSG00000168765	glutathione S-transferase mu 4(GSTM4)
GTF2I	ENSG00000263001	general transcription factor IIi(GTF2I)
GTF2IRD2	ENSG00000196275	GTF2I repeat domain containing 2(GTF2IRD2)
GTPBP1	ENSG00000100226	GTP binding protein 1(GTPBP1)
GZMB	ENSG00000100453	granzyme B(GZMB)
H3C9P	ENSG00000220875	H3 clustered histone 9, pseudogene(H3C9P)
H4C8	ENSG00000158406	H4 clustered histone 8(H4C8)
HAAO	ENSG00000162882	3-hydroxyanthranilate 3,4-dioxygenase(HAAO)
HABP4	ENSG00000130956	hyaluronan binding protein 4(HABP4)
HACD2	ENSG00000206527	3-hydroxyacyl-CoA dehydratase 2(HACD2)
HACL1	ENSG00000131373	2-hydroxyacyl-CoA lyase 1(HACL1)
HAGHL	ENSG00000103253	hydroxyacylglutathione hydrolase like(HAGHL)
HAL	ENSG00000084110	histidine ammonia-lyase(HAL)
HAPLN3	ENSG00000140511	hyaluronan and proteoglycan link protein 3(HAPLN3)
HBP1	ENSG00000105856	HMG-box transcription factor 1(HBP1)
hCG_2042738	ENSG00000214265	HCG2042738, isoform CRA_a(hCG_2042738)
HCG27	ENSG00000206344	HLA complex group 27(HCG27)
HCK	ENSG00000101336	HCK proto-oncogene, Src family tyrosine kinase(HCK)
HCRTR1	ENSG00000121764	hypocretin receptor 1(HCRTR1)
HCRTR2	ENSG00000137252	hypocretin receptor 2(HCRTR2)
HDAC1	ENSG00000116478	histone deacetylase 1(HDAC1)
HDAC2	ENSG00000196591	histone deacetylase 2(HDAC2)
HDAC3	ENSG00000171720	histone deacetylase 3(HDAC3)
HDAC4	ENSG00000068024	histone deacetylase 4(HDAC4)
HDAC9	ENSG00000048052	histone deacetylase 9(HDAC9)
HEBP1	ENSG00000013583	heme binding protein 1(HEBP1)
HECW2	ENSG00000138411	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2(HECW2)
HELLS	ENSG00000119969	helicase, lymphoid specific(HELLS)
HELQ	ENSG00000163312	helicase, POLQ like(HELQ)
